"filename", "language", "Java", "Properties", "HTML", "SCSS", "CSS", "Groovy", "MS SQL", "Batch", "Markdown", "JSON", "comment", "blank", "total"
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/application.properties", "Properties", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 14
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/data.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 1, 61
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/schema.sql", "MS SQL", 0, 0, 0, 0, 0, 0, 119, 0, 0, 0, 5, 21, 145
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/css/style.css", "CSS", 0, 0, 0, 0, 166, 0, 0, 0, 0, 0, 13, 13, 192
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/css/style2.css", "CSS", 0, 0, 0, 0, 101, 0, 0, 0, 0, 0, 11, 7, 119
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/css/style_cart.css", "CSS", 0, 0, 0, 0, 114, 0, 0, 0, 0, 0, 10, 7, 131
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/css/style_order1.css", "CSS", 0, 0, 0, 0, 133, 0, 0, 0, 0, 0, 10, 9, 152
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/css/style_order2.css", "CSS", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 7, 8, 127
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/css/style_order3.css", "CSS", 0, 0, 0, 0, 42, 0, 0, 0, 0, 0, 3, 5, 50
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/sass/style.scss", "SCSS", 0, 0, 0, 200, 0, 0, 0, 0, 0, 0, 14, 43, 257
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/sass/style2.scss", "SCSS", 0, 0, 0, 126, 0, 0, 0, 0, 0, 0, 11, 27, 164
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/sass/style_cart.scss", "SCSS", 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 10, 26, 176
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/sass/style_order1.scss", "SCSS", 0, 0, 0, 161, 0, 0, 0, 0, 0, 0, 10, 31, 202
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/sass/style_order2.scss", "SCSS", 0, 0, 0, 135, 0, 0, 0, 0, 0, 0, 7, 24, 166
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/static/sass/style_order3.scss", "SCSS", 0, 0, 0, 50, 0, 0, 0, 0, 0, 0, 2, 7, 59
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/templates/Cart.html", "HTML", 0, 0, 62, 0, 0, 0, 0, 0, 0, 0, 2, 4, 68
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/templates/Order1.html", "HTML", 0, 0, 118, 0, 0, 0, 0, 0, 0, 0, 1, 8, 127
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/templates/Order2.html", "HTML", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 1, 5, 67
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/templates/Order3.html", "HTML", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/templates/ProductDetail.html", "HTML", 0, 0, 64, 0, 0, 0, 0, 0, 0, 0, 3, 8, 75
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/main/resources/templates/Top.html", "HTML", 0, 0, 162, 0, 0, 0, 0, 0, 0, 0, 16, 23, 201
"/Applications/Eclipse_2024-09.app/Contents/workspace/Okome_EC_Wiz/src/test/java/com/example/demo/OkomeEcWizApplicationTests.java", "Java", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"Total", "-", 693, 8, 493, 812, 668, 37, 179, 41, 112, 42, 207, 577, 3869
